job_title,company_name,skills,location_name,links,requirements
Senior Python Developer,ExaServe LLC,Full timeExperienced · 3 - 5 Yrs of Exp · AWS · Computer Science · Docker · Git · OOP · Python · Software Development · Software Engineering · Information Technology (IT) · SQL,"Nozha, Cairo, Egypt ",https://wuzzuf.net/jobs/p/vSgUo8dOv6bY-Senior-Python-Developer-ExaServe-LLC-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb|spbg,<li>Very good command of English Language Teamwork spirit and good communication skills.</li>
Python (GCP AppEngine) Engineer,camelCase,Full timeExperienced · 3+ Yrs of Exp · Python · Google Cloud · App Engine · Scalability · TDD · GCP · Kubernetes · Lambda · Event Driven · Computer Science,"Mohandessin, Giza, Egypt ",https://wuzzuf.net/jobs/p/TcKtJ0ZFHMYY-Python-GCP-AppEngine-Engineer-camelCase-Giza-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb|spbg,<li>Solid experience with Python Mandatory Knowledge of Python Web Framework such as Django (Flask is optional).</li>
Software Engineer - Backend Development (Python Django),Synapse Analytics,Full timeEntry Level · 0 - 5 Yrs of Exp · Docker · Git · Application Security · TLS · SSL · HTTPS · SQL · DevOps · TCP · IP,"Heliopolis, Cairo, Egypt ",https://wuzzuf.net/jobs/p/D4VPAQTuFGuE-Software-Engineer---Backend-Development-Python-Django-Synapse-Analytics-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb|spbg,"<li>Familiarity with some ORM (Object Relational Mapper) libraries Basic understanding of front-end technologies, such as JavaScript, jQuery, HTML5, and CSS3 Able to integrate multiple data sources and databases into one system</li>"
Python Developer,Icity,Full timeExperienced · 3+ Yrs of Exp · Computer Science · Software Development · Python · Programming · Design · Information Technology (IT) · ORM · Database · Computer Engineering · IT/Software Development,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/7PXnN8CKwolP-Python-Developer-Icity-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb|spbg,"<li>Understanding of the threading limitations of Python, and multi-process architecture</li>"
Senior Software Engineer (JavaEE /Python),FlairsTech,Full timeExperienced · 5 - 8 Yrs of Exp · Java · Python · AWS · DevOps · API · Computer Science · Docker · Information Technology (IT) · Linux · Software,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/y8et7guP3E15-Senior-Software-Engineer-JavaEE-Python-FlairsTech-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb|spbg,<li>Understanding of accessibility and security compliance</li>
Senior Python Developer - Security Engineering,Master Linux,Full timeExperienced · 4 - 7 Yrs of Exp · Python · Cybersecurity · Software · Development · MySQL · DevOps · Docker · Information Technology (IT) · Software Engineering · Software Development,"Heliopolis, Cairo, Egypt ",https://wuzzuf.net/jobs/p/do8X9BSACiQ3-Senior-Python-Developer---Security-Engineering-Master-Linux-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb|spbg,"<li>Knowledge of user authentication and authorization between multiple systems, servers, and environments</li>"
Python Developer / REST API / Microservices - Ocucon Team (UK) - (Alexandria),Procrew,Full timeExperienced · 3+ Yrs of Exp · MySQL · javaScript · Software Development · Programming · Git · Information Technology (IT) · Front-End · Full-Stack · Back-End · Computer Science,"San Stefano, Alexandria, Egypt ",https://wuzzuf.net/jobs/p/C2f0dOEXwd64-Python-Developer-REST-API-Microservices---Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb|spbg,<li>Good experience to create Rest API to Mobile App More than 2 years of experience</li>
Senior Software Engineer - Python,Paymob Solutions,Full timeExperienced · 2+ Yrs of Exp · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript · Web Services · ReactJS,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/FPIbXuZQ8aSj-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb|spbg,
Software Engineer (Python),Darsel,Full timePart timeWork from homeEntry Level · 0 - 3 Yrs of Exp · Python · Software Development · Startup · Software Engineering · Computer Science · English · Information Technology (IT) · Programming · IT/Software Development · Engineering - Telecom/Technology,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/pqDMJFwSJTfQ-Software-Engineer-Python-Darsel-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb|spbg,
Senior Python Developer,Confidential -,Full timeWork from homeExperienced · 3+ Yrs of Exp · Computer Science · Django · Engineering · Flask · HTML5 · Information Technology (IT) · JavaScript · Python · ORM · Software Development,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/xGYIYbJlYhsC-Senior-Python-Developer-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb|spbg,
Senior Python Developer - Remote,"Nile Bits, LLC",Full timeWork from homeExperienced · 3+ Yrs of Exp · Python · Django · javaScript · Software Development · Git · HTML5 · Unit Testing · Computer Science · Information Technology (IT) · Programming,"6th of October, Giza, Egypt ",https://wuzzuf.net/jobs/p/7vjwjvz3fbwV-Senior-Python-Developer---Remote-Nile-Bits-LLC-Giza-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb|spbg,
Senior Python Developer,Evolvice GmbH,Full timeExperienced · 4 - 7 Yrs of Exp · Django · backend · Cloud · Computer Science · Python · Software Development · ERP · Information Technology (IT) · IT/Software Development · Engineering - Telecom/Technology,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/kUEa52j1WZhA-Senior-Python-Developer-Evolvice-GmbH-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb|spbg,
Senior BackEnd Engineer (Python/Django),STC Solutions - Egypt,Full timeExperienced · 4+ Yrs of Exp · Software Development · Java · Software · CI/CD · NoSQL · Backend · Information Technology (IT) · Computer Science · Software Engineering · MySQL,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/eOrii19uCf2B-Senior-BackEnd-Engineer-PythonDjango-STC-Solutions---Egypt-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb|spbg,
Python Flask Developer,RDI,Full timeEntry Level · 1 - 3 Yrs of Exp · Django · Docker · Python · Java · Programming · CSS · HTML · Angular · Computer Science · Information Technology (IT),"Dokki, Giza, Egypt ",https://wuzzuf.net/jobs/p/yKPTQsWHWpFr-Python-Flask-Developer-RDI-Giza-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb|spbg,
Python Developer,EBE,Full timeExperienced · 2+ Yrs of Exp · Software Development · Python · Information Technology (IT) · Computer Science · javaScript · HTML5 · Django · CSS3 · jQuery · Flask,"Dokki, Giza, Egypt ",https://wuzzuf.net/jobs/p/Atse8Mz9mIOW-Python-Developer-EBE-Giza-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb|spbg,
